,X,Y,RSSI_AP1,RSSI_AP2,RSSI_AP3
221,-3,-1,-43.08699876519231,-45.519551324113934,-70.6936525217336
222,-4,-1,-45.08699876519231,-45.519551324113934,-70.0
223,-5,-1,-45.08699876519231,-45.519551324113934,-71.81644866380495
224,-6,-1,-43.38759331543106,-42.55704196543415,-68.33299223588766
225,-7,-1,-43.196192788389226,-42.33299223588766,-70.0
226,-8,-1,-40.6936525217336,-42.0,-67.81644866380495
227,-9,-1,-41.35486325106115,-41.51955132411394,-69.51955132411393
228,-10,-1,-40.33299223588766,-41.08699876519231,-69.51955132411393
229,-11,-1,-40.0,-42.33299223588766,-69.51955132411393
230,-12,-1,-40.6936525217336,-42.0,-69.51955132411393
231,-13,-1,-38.0,-43.94591378158853,-69.51955132411393
232,-14,-1,-40.135141989091366,-41.08699876519231,-68.85263186564026
233,-15,-1,-42.958256317158366,-42.0,-73.85319189027813
234,-16,-1,-42.55704196543415,-46.33299223588765,-74.34896394967114
235,-17,-1,-41.51955132411394,-41.38194831758497,-72.6936525217336
236,-18,-1,-42.0,-36.6936525217336,-73.85319189027813
237,-19,-1,-46.0,-36.33299223588766,-72.85263186564026
238,0,-2,-36.33299223588766,-48.6936525217336,-72.34896394967114
239,-1,-2,-50.33299223588766,-47.08699876519231,-74.39052334930021
240,-2,-2,-44.33299223588766,-53.51955132411394,-69.51955132411393
241,-3,-2,-45.08699876519231,-53.08699876519231,-74.01479085526344
242,-4,-2,-47.519551324113934,-50.0,-73.0869987651923
243,-5,-2,-47.519551324113934,-46.0,-69.51955132411393
244,-6,-2,-49.81644866380495,-46.0,-70.33299223588766
245,-7,-2,-47.519551324113934,-46.0,-68.33299223588766
246,-8,-2,-42.93765782790578,-42.6936525217336,-69.51955132411393
247,-9,-2,-47.81644866380495,-46.6936525217336,-69.0869987651923
248,-10,-2,-44.33299223588766,-43.94591378158853,-71.35486325106115
249,-11,-2,-42.0,-48.6936525217336,-72.6936525217336
250,-12,-2,-42.0,-46.0,-72.13514198909137
251,-13,-2,-42.55704196543415,-43.35486325106115,-72.85263186564026
252,-14,-2,-41.81644866380495,-42.96899155781724,-75.0869987651923
253,-15,-2,-45.08699876519231,-38.0,-73.35486325106115
254,-16,-2,-43.196192788389226,-38.33299223588766,-69.55385698922528
255,-17,-2,-44.47908685027869,-37.38918814033913,-75.64034143198975
256,-18,-2,-42.55704196543415,-36.13514198909137,-72.6936525217336
257,-19,-2,-46.0,-38.55704196543415,-74.59074524951515
258,0,-3,-34.557041965434145,-50.6936525217336,-73.51955132411393
259,-1,-3,-41.51955132411394,-50.0,-82.33299223588766
260,-2,-3,-47.08699876519231,-49.81644866380495,-69.51955132411393
261,-3,-3,-48.6936525217336,-46.33299223588765,-70.33299223588766
262,-4,-3,-44.13514198909137,-50.0,-70.33299223588766
263,-5,-3,-42.96801452957021,-47.08699876519231,-70.0
264,-6,-3,-46.0,-48.21215260790382,-71.0869987651923
265,-7,-3,-42.6936525217336,-46.135141989091366,-69.0869987651923
266,-8,-3,-50.0,-46.0,-69.51955132411393
267,-9,-3,-48.6936525217336,-46.0,-69.51955132411393
268,-10,-3,-45.519551324113934,-48.6936525217336,-70.93765782790578
269,-11,-3,-45.519551324113934,-42.0,-71.64034143198974
270,-12,-3,-47.519551324113934,-45.519551324113934,-69.0869987651923
271,-13,-3,-46.0,-41.08699876519231,-71.51955132411393
272,-14,-3,-45.08699876519231,-38.0,-71.35486325106115
273,-15,-3,-43.94591378158853,-38.0,-71.10600533797233
274,-16,-3,-47.81644866380495,-34.33299223588766,-75.81644866380495
275,-17,-3,-45.08699876519231,-37.08699876519231,-74.0
276,-18,-3,-46.55704196543415,-37.08699876519231,-74.33299223588766
277,-19,-3,-44.6936525217336,-37.51955132411394,-78.93765782790578
278,0,-4,-38.55704196543415,-53.08699876519231,-78.13514198909137
279,-1,-4,-41.51955132411394,-56.6936525217336,-72.39052334930021
280,-2,-4,-46.33299223588765,-53.67412020070306,-69.51955132411393
281,-3,-4,-55.51955132411394,-50.6936525217336,-71.81644866380495
282,-4,-4,-55.08699876519231,-50.33299223588766,-73.35486325106115
283,-5,-4,-47.36760935421235,-54.6936525217336,-72.33299223588766
284,-6,-4,-46.55704196543415,-48.0,-70.0
285,-7,-4,-50.33299223588766,-49.08699876519231,-68.13514198909137
286,-8,-4,-46.55704196543415,-48.6936525217336,-69.51955132411393
287,-9,-4,-52.381553220981225,-43.81644866380495,-70.33299223588766
288,-10,-4,-50.33299223588766,-45.08699876519231,-71.64034143198974
289,-11,-4,-49.08699876519231,-40.33299223588766,-76.85263186564026
290,-12,-4,-50.348963949671145,-38.96841513087224,-73.35486325106115
291,-13,-4,-47.35486325106115,-37.08699876519231,-73.81644866380495
292,-14,-4,-45.519551324113934,-35.086998765192305,-72.0
293,-15,-4,-55.08699876519231,-34.33299223588766,-74.15040115828074
294,-16,-4,-53.35486325106115,-34.557041965434145,-80.47908685027869
295,-17,-4,-46.6936525217336,-34.0,-70.93765782790578
296,-18,-4,-52.70459627465399,-36.6936525217336,-77.55385698922528
297,-19,-4,-54.95602057068756,-37.51955132411394,-80.33299223588764
298,0,-5,-35.94591378158853,-52.50606134191759,-76.55704196543414
299,-1,-5,-35.81644866380495,-51.08699876519231,-74.6936525217336
300,-2,-5,-39.81644866380495,-51.81644866380495,-74.47908685027868
301,-3,-5,-50.0,-53.51955132411394,-71.35486325106115
302,-4,-5,-42.33299223588766,-52.13514198909137,-69.51955132411393
303,-5,-5,-44.85263186564026,-49.83062642038991,-71.51955132411393
304,-6,-5,-43.196192788389226,-47.81644866380495,-71.77176993246773
305,-7,-5,-53.38829265028177,-47.519551324113934,-70.33299223588766
306,-8,-5,-46.6936525217336,-46.0,-70.94191294451034
307,-9,-5,-48.6936525217336,-42.6936525217336,-70.93765782790578
308,-10,-5,-49.519551324113934,-42.0,-70.6936525217336
309,-11,-5,-46.0,-42.0,-65.8418830907228
310,-12,-5,-60.01479085526343,-40.6936525217336,-70.6936525217336
311,-13,-5,-61.51955132411394,-42.0,-74.95602057068756
312,-14,-5,-54.93765782790578,-38.55704196543415,-76.47908685027869
313,-15,-5,-49.519551324113934,-38.0,-73.72383315632278
314,-16,-5,-53.51955132411394,-35.196192788389226,-72.71101000645953
315,-17,-5,-52.6936525217336,-34.557041965434145,-75.19619278838923
316,-18,-5,-49.08699876519231,-34.557041965434145,-75.35486325106115
317,-19,-5,-52.6936525217336,-36.13514198909137,-77.81644866380495
318,0,-6,-37.51955132411394,-53.51955132411394,-75.09898141385037
319,-1,-6,-38.0,-48.739215621682206,-77.81644866380495
320,-2,-6,-39.519551324113934,-55.412707267508736,-74.33299223588766
321,-3,-6,-47.35486325106115,-52.36142112974052,-71.0869987651923
322,-4,-6,-49.08699876519231,-46.0,-71.81644866380495
323,-5,-6,-45.08699876519231,-45.519551324113934,-72.6936525217336
324,-6,-6,-45.08699876519231,-46.33299223588765,-72.6936525217336
325,-7,-6,-53.08699876519231,-47.81644866380495,-71.35486325106115
326,-8,-6,-42.55704196543415,-45.85463963666009,-72.93765782790578
327,-9,-6,-50.968415130872245,-43.196192788389226,-72.13514198909137
328,-10,-6,-47.08699876519231,-42.01479085526344,-73.51955132411393
329,-11,-6,-56.33299223588765,-44.21754764590332,-72.47908685027869
